id,bin,containment_id,created_at,updated_at,deleted_at
1,B000008,C010495,,,
2,B000010,C005143,,,
3,B000017,C005144,,,
4,B000018,C005142,,,
5,B000024,C010496,,,
6,B000036,C005145,,,
7,B000045,C010543,,,
8,B000048,C005105,,,
9,B000052,C005146,,,
10,B000053,C010967,,,
11,B000054,C004894,,,
12,B000055,C005307,,,
13,B000057,C011737,,,
14,B000060,C005308,,,
15,B000061,C010545,,,
16,B000063,C010544,,,
17,B000064,C005307,,,
18,B000065,C004893,,,
19,B000066,C010546,,,
20,B000069,C005297,,,
21,B000070,C005123,,,
22,B000072,C004799,,,
23,B000073,C004892,,,
24,B000074,C005126,,,
25,B000076,C005307,,,
26,B000078,C005309,,,
27,B000083,C005310,,,
28,B000085,C005124,,,
29,B000086,C004777,,,
30,B000087,C005307,,,
31,B000088,C005127,,,
32,B000090,C010972,,,
33,B000092,C005307,,,
34,B000093,C005276,,,
35,B000094,C004776,,,
36,B000095,C005106,,,
37,B000098,C005296,,,
38,B000100,C004801,,,
39,B000101,C004775,,,
40,B000102,C001756,,,
41,B000103,C005103,,,
42,B000104,C005113,,,
43,B000105,C005311,,,
44,B000106,C004773,,,
45,B000107,C010547,,,
46,B000108,C005128,,,
47,B000110,C010969,,,
48,B000111,C005277,,,
49,B000112,C004778,,,
50,B000113,C005312,,,
51,B000115,C005107,,,
52,B000116,C004797,,,
53,B000117,C004760,,,
54,B000119,C004802,,,
55,B000120,C010971,,,
56,B000123,C004759,,,
57,B000125,C005125,,,
58,B000126,C005294,,,
59,B000128,C004758,,,
60,B000129,C004774,,,
61,B000131,C005112,,,
62,B000132,C004772,,,
63,B000133,C004800,,,
64,B000134,C004803,,,
65,B000136,C004798,,,
66,B000139,C004895,,,
67,B000140,C005129,,,
68,B000141,C004780,,,
69,B000144,C004763,,,
70,B000145,C005295,,,
71,B000147,C005298,,,
72,B000148,C010964,,,
73,B000150,C004779,,,
74,B000151,C004804,,,
75,B000152,C004783,,,
76,B000153,C004762,,,
77,B000155,C010889,,,
78,B000156,C004796,,,
79,B000157,C004761,,,
80,B000158,C004757,,,
81,B000159,C004795,,,
82,B000160,C010548,,,
83,B000161,C005101,,,
84,B000162,C005102,,,
85,B000163,C004782,,,
86,B000164,C010917,,,
87,B000165,C010919,,,
88,B000167,C005114,,,
89,B000168,C004896,,,
90,B000169,C010956,,,
91,B000170,C010920,,,
92,B000174,C004752,,,
93,B000176,C005289,,,
94,B000178,C004805,,,
95,B000179,C004781,,,
96,B000180,C005278,,,
97,B000181,C004764,,,
98,B000183,C010554,,,
99,B000184,C004784,,,
100,B000185,C005281,,,
101,B000186,C005288,,,
102,B000187,C010970,,,
103,B000188,C005299,,,
104,B000189,C004766,,,
105,B000191,C010918,,,
106,B000193,C005100,,,
107,B000194,C005119,,,
108,B000198,C010916,,,
109,B000199,C004765,,,
110,B000200,C005279,,,
111,B000203,C010915,,,
112,B000205,C004753,,,
113,B000206,C005262,,,
114,B000207,C010962,,,
115,B000208,C005286,,,
116,B000209,C000319,,,
117,B000210,C004806,,,
118,B000212,C004788,,,
119,B000213,C005290,,,
120,B000216,C004767,,,
121,B000217,C005282,,,
122,B000218,C005287,,,
123,B000220,C005260,,,
